127.0.0.1, 2015-09-29 14:31:06, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-09-29 14:31:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.870000
127.0.0.1, 2015-09-29 14:31:06, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-09-29 14:31:06, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:06, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-09-29 14:31:16, GET, /admin/default/index, HTTP/1.1, 200, 0.103000
127.0.0.1, 2015-09-29 14:31:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-09-29 14:31:19, POST, /admin/default/index, HTTP/1.1, 303, 0.045000
127.0.0.1, 2015-09-29 14:31:19, GET, /admin/default/site, HTTP/1.1, 200, 0.038000
127.0.0.1, 2015-09-29 14:31:20, POST, /admin/default/check_version, HTTP/1.1, 200, 0.435000
127.0.0.1, 2015-09-29 14:31:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-09-29 14:31:24, GET, /AplicacaoTeste/default/index, HTTP/1.1, 500, 0.846000
127.0.0.1, 2015-09-29 14:31:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-09-29 14:31:26, GET, /admin/default/ticket/AplicacaoTeste/127.0.0.1.2015-09-29.14-31-23.2f8a7d06-d8e5-49f3-a839-502c415aa06f, HTTP/1.1, 200, 0.128000
127.0.0.1, 2015-09-29 14:31:26, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:31:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-09-29 14:32:34, GET, /admin/default/ticket/AplicacaoTeste/127.0.0.1.2015-09-29.14-31-23.2f8a7d06-d8e5-49f3-a839-502c415aa06f, HTTP/1.1, 200, 0.104000
127.0.0.1, 2015-09-29 14:32:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-09-29 14:35:20, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.079000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
001000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 14:35:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-09-29 14:35:26, GET, /admin/default/index, HTTP/1.1, 303, 0.055000
127.0.0.1, 2015-09-29 14:35:26, GET, /admin/default/site, HTTP/1.1, 200, 0.037000
127.0.0.1, 2015-09-29 14:35:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/default/index, HTTP/1.1, 200, 0.111000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:35:29, GET, /AplicacaoTeste/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:35:29, GET, /AplicacaoTeste/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-09-29 14:35:29, GET, /AplicacaoTeste/static/images/facebook.png, HTTP/1.1, 200, 0.001000
